,ASD.precision,ASD.recall,ASD.f1-score,ASD.support,TD.precision,TD.recall,TD.f1-score,TD.support,accuracy,macro_avg.precision,macro_avg.recall,macro_avg.f1-score,macro_avg.support,weighted_avg.precision,weighted_avg.recall,weighted_avg.f1-score,weighted_avg.support
0,0.5454545454545454,1.0,0.7058823529411765,30.0,0.0,0.0,0.0,25.0,0.5454545454545454,0.2727272727272727,0.5,0.35294117647058826,55.0,0.2975206611570248,0.5454545454545454,0.3850267379679145,55.0
1,0.5454545454545454,1.0,0.7058823529411765,30.0,0.0,0.0,0.0,25.0,0.5454545454545454,0.2727272727272727,0.5,0.35294117647058826,55.0,0.2975206611570248,0.5454545454545454,0.3850267379679145,55.0
2,0.5555555555555556,1.0,0.7142857142857143,30.0,1.0,0.04,0.07692307692307693,25.0,0.5636363636363636,0.7777777777777778,0.52,0.39560439560439564,55.0,0.7575757575757577,0.5636363636363636,0.42457542457542463,55.0
3,0.5882352941176471,1.0,0.7407407407407407,30.0,1.0,0.16,0.27586206896551724,25.0,0.6181818181818182,0.7941176470588236,0.58,0.5083014048531289,55.0,0.7754010695187166,0.6181818181818182,0.5294322535701845,55.0
4,0.5833333333333334,0.9333333333333333,0.717948717948718,30.0,0.7142857142857143,0.2,0.3125,25.0,0.6,0.6488095238095238,0.5666666666666667,0.515224358974359,55.0,0.6428571428571429,0.6,0.5336538461538461,55.0
5,0.5918367346938775,0.9666666666666667,0.7341772151898734,30.0,0.8333333333333334,0.2,0.3225806451612903,25.0,0.6181818181818182,0.7125850340136055,0.5833333333333334,0.5283789301755819,55.0,0.7016079158936303,0.6181818181818182,0.5470878651768811,55.0
6,0.58,0.9666666666666667,0.725,30.0,0.8,0.16,0.26666666666666666,25.0,0.6,0.69,0.5633333333333334,0.49583333333333335,55.0,0.6799999999999999,0.6,0.5166666666666667,55.0
7,0.5957446808510638,0.9333333333333333,0.7272727272727273,30.0,0.75,0.24,0.36363636363636365,25.0,0.6181818181818182,0.6728723404255319,0.5866666666666667,0.5454545454545454,55.0,0.6658607350096712,0.6181818181818182,0.5619834710743803,55.0
8,0.5882352941176471,1.0,0.7407407407407407,30.0,1.0,0.16,0.27586206896551724,25.0,0.6181818181818182,0.7941176470588236,0.58,0.5083014048531289,55.0,0.7754010695187166,0.6181818181818182,0.5294322535701845,55.0
9,0.6097560975609756,0.8333333333333334,0.704225352112676,30.0,0.6428571428571429,0.36,0.46153846153846156,25.0,0.6181818181818182,0.6263066202090593,0.5966666666666667,0.5828819068255688,55.0,0.6248020272410517,0.6181818181818182,0.5939131291243968,55.0
10,0.6041666666666666,0.9666666666666667,0.7435897435897436,30.0,0.8571428571428571,0.24,0.375,25.0,0.6363636363636364,0.7306547619047619,0.6033333333333333,0.5592948717948718,55.0,0.7191558441558442,0.6363636363636364,0.576048951048951,55.0
11,0.5882352941176471,1.0,0.7407407407407407,30.0,1.0,0.16,0.27586206896551724,25.0,0.6181818181818182,0.7941176470588236,0.58,0.5083014048531289,55.0,0.7754010695187166,0.6181818181818182,0.5294322535701845,55.0
12,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0,0.7222222222222222,0.52,0.6046511627906976,25.0,0.6909090909090909,0.6989489489489489,0.6766666666666667,0.6754599097535579,55.0,0.6968331968331968,0.6909090909090909,0.6818970685683633,55.0
13,0.6170212765957447,0.9666666666666667,0.7532467532467533,30.0,0.875,0.28,0.42424242424242425,25.0,0.6545454545454545,0.7460106382978724,0.6233333333333333,0.5887445887445888,55.0,0.7342843326885881,0.6545454545454545,0.6036993309720582,55.0
14,0.6666666666666666,0.8,0.7272727272727273,30.0,0.6842105263157895,0.52,0.5909090909090909,25.0,0.6727272727272727,0.6754385964912281,0.66,0.6590909090909092,55.0,0.6746411483253589,0.6727272727272727,0.6652892561983471,55.0
15,0.6444444444444445,0.9666666666666667,0.7733333333333333,30.0,0.9,0.36,0.5142857142857142,25.0,0.6909090909090909,0.7722222222222223,0.6633333333333333,0.6438095238095238,55.0,0.7606060606060606,0.6909090909090909,0.6555844155844156,55.0
16,0.675,0.9,0.7714285714285715,30.0,0.8,0.48,0.6,25.0,0.7090909090909091,0.7375,0.69,0.6857142857142857,55.0,0.7318181818181818,0.7090909090909091,0.6935064935064934,55.0
17,0.6521739130434783,1.0,0.7894736842105263,30.0,1.0,0.36,0.5294117647058824,25.0,0.7090909090909091,0.8260869565217391,0.6799999999999999,0.6594427244582044,55.0,0.8102766798418972,0.7090909090909091,0.6712637207993246,55.0
18,0.6,1.0,0.75,30.0,1.0,0.2,0.3333333333333333,25.0,0.6363636363636364,0.8,0.6,0.5416666666666666,55.0,0.7818181818181819,0.6363636363636364,0.5606060606060606,55.0
19,0.6666666666666666,1.0,0.8,30.0,1.0,0.4,0.5714285714285714,25.0,0.7272727272727273,0.8333333333333333,0.7,0.6857142857142857,55.0,0.8181818181818182,0.7272727272727273,0.6961038961038961,55.0
20,0.6818181818181818,1.0,0.8108108108108109,30.0,1.0,0.44,0.6111111111111112,25.0,0.7454545454545455,0.8409090909090908,0.72,0.7109609609609611,55.0,0.8264462809917356,0.7454545454545455,0.7200382200382202,55.0
21,0.7435897435897436,0.9666666666666667,0.8405797101449275,30.0,0.9375,0.6,0.7317073170731707,25.0,0.8,0.8405448717948718,0.7833333333333333,0.7861435136090491,55.0,0.8317307692307692,0.8,0.7910922587486744,55.0
22,0.7142857142857143,1.0,0.8333333333333334,30.0,1.0,0.52,0.6842105263157895,25.0,0.7818181818181819,0.8571428571428572,0.76,0.7587719298245614,55.0,0.8441558441558442,0.7818181818181819,0.7655502392344499,55.0
23,0.6818181818181818,1.0,0.8108108108108109,30.0,1.0,0.44,0.6111111111111112,25.0,0.7454545454545455,0.8409090909090908,0.72,0.7109609609609611,55.0,0.8264462809917356,0.7454545454545455,0.7200382200382202,55.0
24,0.75,1.0,0.8571428571428571,30.0,1.0,0.6,0.75,25.0,0.8181818181818182,0.875,0.8,0.8035714285714286,55.0,0.8636363636363636,0.8181818181818182,0.8084415584415583,55.0
25,0.7631578947368421,0.9666666666666667,0.8529411764705882,30.0,0.9411764705882353,0.64,0.7619047619047619,25.0,0.8181818181818182,0.8521671826625388,0.8033333333333333,0.8074229691876751,55.0,0.8440754292147481,0.8181818181818182,0.8115609880315762,55.0
26,0.6976744186046512,1.0,0.821917808219178,30.0,1.0,0.48,0.6486486486486487,25.0,0.7636363636363637,0.8488372093023255,0.74,0.7352832284339134,55.0,0.8350951374207188,0.7636363636363637,0.743159099323483,55.0
27,0.8055555555555556,0.9666666666666667,0.8787878787878788,30.0,0.9473684210526315,0.72,0.8181818181818182,25.0,0.8545454545454545,0.8764619883040936,0.8433333333333333,0.8484848484848485,55.0,0.8700159489633174,0.8545454545454545,0.8512396694214877,55.0
28,0.75,1.0,0.8571428571428571,30.0,1.0,0.6,0.75,25.0,0.8181818181818182,0.875,0.8,0.8035714285714286,55.0,0.8636363636363636,0.8181818181818182,0.8084415584415583,55.0
29,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0,0.95,0.76,0.8444444444444444,25.0,0.8727272727272727,0.8892857142857142,0.8633333333333333,0.8683760683760684,55.0,0.8837662337662339,0.8727272727272727,0.8705516705516706,55.0
30,0.8055555555555556,0.9666666666666667,0.8787878787878788,30.0,0.9473684210526315,0.72,0.8181818181818182,25.0,0.8545454545454545,0.8764619883040936,0.8433333333333333,0.8484848484848485,55.0,0.8700159489633174,0.8545454545454545,0.8512396694214877,55.0
31,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0,0.95,0.76,0.8444444444444444,25.0,0.8727272727272727,0.8892857142857142,0.8633333333333333,0.8683760683760684,55.0,0.8837662337662339,0.8727272727272727,0.8705516705516706,55.0
32,0.8333333333333334,1.0,0.9090909090909091,30.0,1.0,0.76,0.8636363636363636,25.0,0.8909090909090909,0.9166666666666667,0.88,0.8863636363636364,55.0,0.9090909090909091,0.8909090909090909,0.8884297520661156,55.0
33,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0,0.95,0.76,0.8444444444444444,25.0,0.8727272727272727,0.8892857142857142,0.8633333333333333,0.8683760683760684,55.0,0.8837662337662339,0.8727272727272727,0.8705516705516706,55.0
34,0.7894736842105263,1.0,0.8823529411764706,30.0,1.0,0.68,0.8095238095238095,25.0,0.8545454545454545,0.8947368421052632,0.8400000000000001,0.84593837535014,55.0,0.8851674641148326,0.8545454545454545,0.849248790425261,55.0
35,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0,0.95,0.76,0.8444444444444444,25.0,0.8727272727272727,0.8892857142857142,0.8633333333333333,0.8683760683760684,55.0,0.8837662337662339,0.8727272727272727,0.8705516705516706,55.0
36,0.8333333333333334,1.0,0.9090909090909091,30.0,1.0,0.76,0.8636363636363636,25.0,0.8909090909090909,0.9166666666666667,0.88,0.8863636363636364,55.0,0.9090909090909091,0.8909090909090909,0.8884297520661156,55.0
37,0.8108108108108109,1.0,0.8955223880597015,30.0,1.0,0.72,0.8372093023255814,25.0,0.8727272727272727,0.9054054054054055,0.86,0.8663658451926415,55.0,0.8968058968058967,0.8727272727272727,0.8690164399987379,55.0
38,0.8333333333333334,1.0,0.9090909090909091,30.0,1.0,0.76,0.8636363636363636,25.0,0.8909090909090909,0.9166666666666667,0.88,0.8863636363636364,55.0,0.9090909090909091,0.8909090909090909,0.8884297520661156,55.0
39,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0,0.9090909090909091,0.8,0.851063829787234,25.0,0.8727272727272727,0.8787878787878788,0.8666666666666667,0.8699763593380614,55.0,0.8760330578512397,0.8727272727272727,0.8716956802063185,55.0
40,0.8108108108108109,1.0,0.8955223880597015,30.0,1.0,0.72,0.8372093023255814,25.0,0.8727272727272727,0.9054054054054055,0.86,0.8663658451926415,55.0,0.8968058968058967,0.8727272727272727,0.8690164399987379,55.0
41,0.8333333333333334,1.0,0.9090909090909091,30.0,1.0,0.76,0.8636363636363636,25.0,0.8909090909090909,0.9166666666666667,0.88,0.8863636363636364,55.0,0.9090909090909091,0.8909090909090909,0.8884297520661156,55.0
42,0.8529411764705882,0.9666666666666667,0.90625,30.0,0.9523809523809523,0.8,0.8695652173913043,25.0,0.8909090909090909,0.9026610644257702,0.8833333333333333,0.8879076086956521,55.0,0.8981410746116627,0.8909090909090909,0.8895750988142292,55.0
43,0.8333333333333334,1.0,0.9090909090909091,30.0,1.0,0.76,0.8636363636363636,25.0,0.8909090909090909,0.9166666666666667,0.88,0.8863636363636364,55.0,0.9090909090909091,0.8909090909090909,0.8884297520661156,55.0
44,0.8333333333333334,1.0,0.9090909090909091,30.0,1.0,0.76,0.8636363636363636,25.0,0.8909090909090909,0.9166666666666667,0.88,0.8863636363636364,55.0,0.9090909090909091,0.8909090909090909,0.8884297520661156,55.0
45,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
46,0.8529411764705882,0.9666666666666667,0.90625,30.0,0.9523809523809523,0.8,0.8695652173913043,25.0,0.8909090909090909,0.9026610644257702,0.8833333333333333,0.8879076086956521,55.0,0.8981410746116627,0.8909090909090909,0.8895750988142292,55.0
47,0.8333333333333334,1.0,0.9090909090909091,30.0,1.0,0.76,0.8636363636363636,25.0,0.8909090909090909,0.9166666666666667,0.88,0.8863636363636364,55.0,0.9090909090909091,0.8909090909090909,0.8884297520661156,55.0
48,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
49,0.8333333333333334,1.0,0.9090909090909091,30.0,1.0,0.76,0.8636363636363636,25.0,0.8909090909090909,0.9166666666666667,0.88,0.8863636363636364,55.0,0.9090909090909091,0.8909090909090909,0.8884297520661156,55.0
50,0.8108108108108109,1.0,0.8955223880597015,30.0,1.0,0.72,0.8372093023255814,25.0,0.8727272727272727,0.9054054054054055,0.86,0.8663658451926415,55.0,0.8968058968058967,0.8727272727272727,0.8690164399987379,55.0
51,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
52,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
53,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0,0.9545454545454546,0.84,0.8936170212765957,25.0,0.9090909090909091,0.9166666666666667,0.9033333333333333,0.9071259709557582,55.0,0.9132231404958677,0.9090909090909091,0.9083540572902274,55.0
54,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
55,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
56,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
57,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
58,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
59,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0,0.9545454545454546,0.84,0.8936170212765957,25.0,0.9090909090909091,0.9166666666666667,0.9033333333333333,0.9071259709557582,55.0,0.9132231404958677,0.9090909090909091,0.9083540572902274,55.0
60,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
61,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
62,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
63,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
64,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
65,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
66,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
67,0.8108108108108109,1.0,0.8955223880597015,30.0,1.0,0.72,0.8372093023255814,25.0,0.8727272727272727,0.9054054054054055,0.86,0.8663658451926415,55.0,0.8968058968058967,0.8727272727272727,0.8690164399987379,55.0
68,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0,0.9545454545454546,0.84,0.8936170212765957,25.0,0.9090909090909091,0.9166666666666667,0.9033333333333333,0.9071259709557582,55.0,0.9132231404958677,0.9090909090909091,0.9083540572902274,55.0
69,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
70,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0,0.9545454545454546,0.84,0.8936170212765957,25.0,0.9090909090909091,0.9166666666666667,0.9033333333333333,0.9071259709557582,55.0,0.9132231404958677,0.9090909090909091,0.9083540572902274,55.0
71,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
72,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
73,0.875,0.9333333333333333,0.9032258064516129,30.0,0.9130434782608695,0.84,0.875,25.0,0.8909090909090909,0.8940217391304348,0.8866666666666667,0.8891129032258065,55.0,0.892292490118577,0.8909090909090909,0.8903958944281525,55.0
74,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
75,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
76,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
77,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
78,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
79,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
80,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
81,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
82,0.8571428571428571,1.0,0.9230769230769231,30.0,1.0,0.8,0.8888888888888888,25.0,0.9090909090909091,0.9285714285714286,0.9,0.905982905982906,55.0,0.9220779220779219,0.9090909090909091,0.9075369075369075,55.0
83,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
84,0.8823529411764706,1.0,0.9375,30.0,1.0,0.84,0.9130434782608695,25.0,0.9272727272727272,0.9411764705882353,0.9199999999999999,0.9252717391304348,55.0,0.9358288770053476,0.9272727272727272,0.9263833992094861,55.0
